Created as New Dataset;
s;A
0,00;-0,0003
1,00;-0,0000
2,00;-0,0000
3,00;-0,0000
4,00;-0,0000
5,00;-0,0000
6,00;-0,0003
7,00;-0,0000
8,00;-0,0003
9,00;-0,0003
10,00;-0,0000
11,00;0,0003
12,00;-0,0000
13,00;-0,0000
14,00;-0,0000
15,00;-0,0000
16,00;-0,0000
17,00;-0,0000
18,00;-0,0000
19,00;0,0003
20,00;0,0003
21,00;-0,0000
22,00;-0,0000
23,00;-0,0000
24,00;-0,0000
25,00;-0,0000
26,00;-0,0000
27,00;-0,0000
28,00;-0,0000
29,00;-0,0000
30,00;-0,0000
31,00;-0,0000
32,00;-0,0000
33,00;-0,0000
34,00;-0,0000
35,00;-0,0003
36,00;-0,0000
37,00;-0,0000
38,00;-0,0000
39,00;-0,0000
40,00;0,0003
41,00;-0,0000
42,00;-0,0000
43,00;-0,0000
44,00;-0,0000
45,00;-0,0003
46,00;-0,0000
47,00;-0,0000
48,00;-0,0000
49,00;-0,0000
50,00;-0,0000
51,00;-0,0000
52,00;-0,0000
53,00;-0,0000
54,00;-0,0000
55,00;-0,0003
56,00;-0,0000
57,00;-0,0000
58,00;-0,0000
59,00;-0,0000
60,00;-0,0000
61,00;0,0003
62,00;-0,0000
63,00;-0,0000
64,00;-0,0003
65,00;-0,0000
66,00;-0,0000
67,00;-0,0000
68,00;-0,0000
69,00;-0,0000
70,00;-0,0000
71,00;-0,0000
72,00;-0,0000
73,00;-0,0000
74,00;-0,0000
75,00;-0,0000
76,00;-0,0000
77,00;-0,0000
78,00;-0,0000
79,00;-0,0003
80,00;-0,0000
81,00;-0,0003
82,00;-0,0003
83,00;-0,0000
84,00;-0,0000
85,00;-0,0000
86,00;-0,0000
87,00;-0,0000
88,00;-0,0003
89,00;-0,0003
90,00;-0,0003
91,00;-0,0003
92,00;-0,0003
93,00;-0,0000
94,00;-0,0000
95,00;-0,0000
96,00;-0,0003
97,00;-0,0003
98,00;-0,0003
99,00;-0,0003
100,00;-0,0003
101,00;-0,0000
102,00;-0,0000
103,00;-0,0000
104,00;-0,0000
105,00;-0,0003
106,00;-0,0000
107,00;-0,0000
108,00;-0,0000
109,00;-0,0003
110,00;-0,0003
111,00;-0,0000
112,00;-0,0003
113,00;-0,0003
114,00;-0,0003
115,00;-0,0003
116,00;-0,0003
117,00;-0,0003
118,00;-0,0003
119,00;-0,0003
120,00;-0,0003
121,00;-0,0003
122,00;-0,0003
123,00;-0,0003
124,00;-0,0000
125,00;-0,0003
126,00;-0,0003
127,00;-0,0003
128,00;-0,0003
129,00;-0,0003
130,00;-0,0000
131,00;-0,0000
132,00;-0,0003
133,00;-0,0003
134,00;-0,0000
135,00;-0,0003
136,00;-0,0003
137,00;-0,0003
138,00;-0,0000
139,00;-0,0000
140,00;-0,0003
141,00;-0,0000
142,00;-0,0003
143,00;-0,0003
144,00;-0,0003
145,00;-0,0003
146,00;-0,0003
147,00;-0,0003
148,00;-0,0003
149,00;-0,0000
