Created as New Dataset;
s;A
328,00;0,0860
329,00;0,0717
330,00;0,0570
331,00;0,0450
332,00;0,0365
333,00;0,0305
334,00;0,0260
335,00;0,0216
336,00;0,0179
337,00;0,0165
338,00;0,0145
339,00;0,0128
340,00;0,0112
341,00;0,0088
342,00;0,0072
343,00;0,0055
344,00;0,0042
345,00;0,0036
346,00;0,0026
347,00;0,0019
348,00;0,0013
349,00;0,0006
350,00;-0,0003
351,00;-0,0006
352,00;-0,0006
353,00;-0,0013
354,00;-0,0013
355,00;-0,0019
356,00;-0,0019
357,00;-0,0019
358,00;-0,0023
359,00;-0,0026
360,00;-0,0026
361,00;-0,0026
362,00;-0,0026
363,00;-0,0029
364,00;-0,0029
365,00;-0,0029
366,00;-0,0026
367,00;-0,0029
368,00;-0,0029
369,00;-0,0029
370,00;-0,0029
371,00;-0,0029
372,00;-0,0029
373,00;-0,0029
374,00;-0,0029
375,00;-0,0029
376,00;-0,0032
377,00;-0,0029
378,00;-0,0029
379,00;-0,0032
380,00;-0,0032
381,00;-0,0032
382,00;-0,0032
383,00;-0,0032
384,00;-0,0032
385,00;-0,0029
386,00;-0,0032
387,00;-0,0032
388,00;-0,0029
389,00;-0,0029
390,00;-0,0029
391,00;-0,0029
392,00;-0,0029
393,00;-0,0032
394,00;-0,0032
395,00;-0,0032
396,00;-0,0032
397,00;-0,0032
398,00;-0,0032
399,00;-0,0032
400,00;-0,0032
401,00;-0,0032
402,00;-0,0032
403,00;-0,0032
404,00;-0,0032
405,00;-0,0032
406,00;-0,0035
407,00;-0,0032
408,00;-0,0035
409,00;-0,0032
410,00;-0,0032
411,00;-0,0032
412,00;-0,0032
413,00;-0,0029
414,00;-0,0032
415,00;-0,0032
416,00;-0,0035
417,00;-0,0032
418,00;-0,0032
419,00;-0,0032
420,00;-0,0032
421,00;-0,0032
422,00;-0,0035
423,00;-0,0035
424,00;-0,0035
425,00;-0,0032
426,00;-0,0032
427,00;-0,0032
428,00;-0,0032
429,00;-0,0032
430,00;-0,0032
431,00;-0,0032
432,00;-0,0032
433,00;-0,0032
434,00;-0,0032
435,00;-0,0032
436,00;-0,0032
437,00;-0,0035
438,00;-0,0032
439,00;-0,0032
440,00;-0,0032
441,00;-0,0032
442,00;-0,0032
443,00;-0,0032
444,00;-0,0032
445,00;-0,0032
446,00;-0,0032
447,00;-0,0032
448,00;-0,0032
449,00;-0,0032
450,00;-0,0035
451,00;-0,0032
452,00;-0,0035
453,00;-0,0035
454,00;-0,0035
455,00;-0,0032
456,00;-0,0035
457,00;-0,0032
458,00;-0,0035
459,00;-0,0035
460,00;-0,0032
461,00;-0,0035
462,00;-0,0035
463,00;-0,0032
464,00;-0,0035
465,00;-0,0035
466,00;-0,0032
467,00;-0,0035
468,00;-0,0035
469,00;-0,0035
470,00;-0,0035
471,00;-0,0035
472,00;-0,0035
473,00;-0,0035
474,00;-0,0032
475,00;-0,0035
476,00;-0,0035
477,00;-0,0035
478,00;-0,0035
479,00;-0,0039
480,00;-0,0039
481,00;-0,0035
482,00;-0,0035
483,00;-0,0035
484,00;-0,0035
485,00;-0,0032
486,00;-0,0035
487,00;-0,0035
488,00;-0,0039
489,00;-0,0035
490,00;-0,0039
491,00;-0,0039
492,00;-0,0039
493,00;-0,0039
494,00;-0,0035
495,00;-0,0035
496,00;-0,0035
497,00;-0,0035
498,00;-0,0035
499,00;-0,0035
500,00;-0,0035
501,00;-0,0035
502,00;-0,0039
503,00;-0,0035
504,00;-0,0039
505,00;-0,0039
506,00;-0,0035
507,00;-0,0035
508,00;-0,0032
509,00;-0,0035
510,00;-0,0035
511,00;-0,0035
512,00;-0,0039
513,00;-0,0039
514,00;-0,0035
515,00;-0,0035
516,00;-0,0035
517,00;-0,0035
518,00;-0,0035
519,00;-0,0035
520,00;-0,0039
521,00;-0,0035
522,00;-0,0039
523,00;-0,0035
524,00;-0,0039
525,00;-0,0035
526,00;-0,0035
527,00;-0,0039
528,00;-0,0039
529,00;-0,0039
530,00;-0,0035
531,00;-0,0039
532,00;-0,0039
533,00;-0,0039
534,00;-0,0035
535,00;-0,0035
536,00;-0,0035
537,00;-0,0039
538,00;-0,0039
539,00;-0,0039
540,00;-0,0039
541,00;-0,0039
542,00;-0,0039
543,00;-0,0039
544,00;-0,0039
545,00;-0,0039
546,00;-0,0039
547,00;-0,0039
548,00;-0,0039
549,00;-0,0039
550,00;-0,0039
551,00;-0,0035
552,00;-0,0039
553,00;-0,0042
