Created as New Dataset;
s;A
0,00;-0,0003
1,00;-0,0003
2,00;-0,0003
3,00;-0,0000
4,00;-0,0000
5,00;-0,0003
6,00;-0,0003
7,00;-0,0000
8,00;-0,0003
9,00;-0,0003
10,00;-0,0000
11,00;-0,0003
12,00;-0,0003
13,00;-0,0003
14,00;-0,0003
15,00;-0,0003
16,00;-0,0003
17,00;-0,0000
18,00;-0,0003
19,00;-0,0003
20,00;-0,0003
21,00;-0,0003
22,00;-0,0003
23,00;-0,0003
24,00;-0,0003
25,00;-0,0003
26,00;-0,0000
27,00;-0,0003
28,00;-0,0000
29,00;-0,0003
30,00;-0,0003
31,00;-0,0000
32,00;-0,0000
33,00;-0,0000
34,00;-0,0000
35,00;-0,0000
36,00;-0,0003
37,00;-0,0000
38,00;-0,0003
39,00;-0,0003
40,00;-0,0003
41,00;-0,0003
42,00;-0,0006
43,00;-0,0000
44,00;-0,0003
45,00;-0,0003
46,00;-0,0000
47,00;-0,0000
48,00;-0,0000
49,00;-0,0003
50,00;-0,0003
51,00;-0,0003
52,00;-0,0003
53,00;-0,0003
54,00;-0,0003
55,00;-0,0006
56,00;-0,0006
57,00;-0,0003
58,00;-0,0003
59,00;-0,0003
60,00;-0,0003
61,00;-0,0000
62,00;-0,0003
63,00;-0,0003
64,00;-0,0000
65,00;-0,0003
66,00;-0,0003
67,00;-0,0003
68,00;-0,0003
69,00;-0,0003
70,00;-0,0003
71,00;-0,0003
72,00;-0,0003
73,00;-0,0003
74,00;-0,0003
75,00;-0,0003
76,00;-0,0003
77,00;-0,0003
78,00;-0,0003
79,00;-0,0006
80,00;-0,0003
81,00;-0,0003
82,00;-0,0000
83,00;-0,0003
84,00;-0,0000
85,00;-0,0000
86,00;-0,0003
87,00;-0,0003
88,00;-0,0003
89,00;-0,0003
90,00;-0,0003
91,00;-0,0000
92,00;-0,0003
93,00;-0,0000
94,00;-0,0003
95,00;-0,0003
96,00;-0,0003
97,00;-0,0000
98,00;-0,0003
99,00;-0,0003
100,00;-0,0003
101,00;-0,0006
102,00;-0,0006
103,00;-0,0003
104,00;-0,0006
105,00;-0,0006
106,00;-0,0006
107,00;-0,0003
108,00;-0,0003
109,00;-0,0003
110,00;-0,0003
111,00;-0,0003
112,00;-0,0003
113,00;-0,0003
114,00;-0,0003
115,00;-0,0003
116,00;-0,0003
117,00;-0,0003
118,00;-0,0003
119,00;-0,0006
120,00;-0,0006
121,00;-0,0006
122,00;-0,0003
123,00;-0,0003
124,00;-0,0003
125,00;-0,0000
126,00;-0,0003
127,00;-0,0003
128,00;-0,0006
129,00;-0,0003
130,00;-0,0003
131,00;-0,0006
132,00;-0,0006
133,00;-0,0003
134,00;-0,0000
135,00;-0,0000
136,00;-0,0003
137,00;-0,0003
138,00;-0,0006
139,00;-0,0006
140,00;-0,0006
141,00;-0,0003
142,00;-0,0006
143,00;-0,0006
144,00;-0,0003
145,00;-0,0006
146,00;-0,0003
147,00;-0,0003
148,00;-0,0003
