Pomiar;Ca1Mg1.Sample.csv - abs;Ca1Mg1.Sample.csv - delta;Ca1Mg1.Sample.csv - proc;====;Ca1Mg5.Sample.csv - abs;Ca1Mg5.Sample.csv - delta;Ca1Mg5.Sample.csv - proc;====
372;0,0019;0,0;0,0;====;-0,0003;0,0003;-50,0;====
373;0,0022;0,0003;15,78947;====;-0,0006;-0,0003;100,0;====
374;0,0025;0,0003;13,63636;====;-0,0006;0,0;-0,0;====
375;0,0025;0,0;0,0;====;-0,0006;0,0;-0,0;====
376;0,0025;0,0;0,0;====;-0,0003;0,0003;-50,0;====
377;0,0025;0,0;0,0;====;-0,0003;0,0;-0,0;====
378;0,0025;0,0;0,0;====;-0,0003;0,0;-0,0;====
379;0,0028;0,0003;12,0;====;-0,0009;-0,0006;200,0;====
380;0,0025;-0,0003;-10,71429;====;-0,0009;0,0;-0,0;====
381;0,0025;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
382;0,0022;-0,0003;-12,0;====;-0,0003;0,0003;-50,0;====
383;0,0022;0,0;0,0;====;-0,0006;-0,0003;100,0;====
384;0,0025;0,0003;13,63636;====;-0,0006;0,0;-0,0;====
385;0,0022;-0,0003;-12,0;====;-0,0006;0,0;-0,0;====
386;0,0022;0,0;0,0;====;-0,0003;0,0003;-50,0;====
387;0,0022;0,0;0,0;====;-0,0;0,0003;-100,0;====
388;0,0025;0,0003;13,63636;====;-0,0003;-0,0003;0,0;====
389;0,0022;-0,0003;-12,0;====;-0,0;0,0003;-100,0;====
390;0,0022;0,0;0,0;====;-0,0003;-0,0003;0,0;====
391;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
392;0,0025;0,0003;13,63636;====;-0,0006;-0,0003;100,0;====
393;0,0022;-0,0003;-12,0;====;-0,0006;0,0;-0,0;====
394;0,0025;0,0003;13,63636;====;-0,0006;0,0;-0,0;====
395;0,0022;-0,0003;-12,0;====;-0,0003;0,0003;-50,0;====
396;0,0022;0,0;0,0;====;-0,0006;-0,0003;100,0;====
397;0,0025;0,0003;13,63636;====;-0,0012;-0,0006;100,0;====
398;0,0025;0,0;0,0;====;-0,0006;0,0006;-50,0;====
399;0,0025;0,0;0,0;====;-0,0009;-0,0003;50,0;====
400;0,0025;0,0;0,0;====;-0,0009;0,0;-0,0;====
401;0,0025;0,0;0,0;====;-0,0009;0,0;-0,0;====
402;0,0025;0,0;0,0;====;-0,0009;0,0;-0,0;====
403;0,0022;-0,0003;-12,0;====;-0,0009;0,0;-0,0;====
404;0,0022;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
405;0,0022;0,0;0,0;====;-0,0006;0,0;-0,0;====
406;0,0022;0,0;0,0;====;-0,0006;0,0;-0,0;====
407;0,0019;-0,0003;-13,63636;====;-0,0003;0,0003;-50,0;====
408;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
409;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
410;0,0025;0,0003;13,63636;====;-0,0006;-0,0003;100,0;====
411;0,0025;0,0;0,0;====;-0,0006;0,0;-0,0;====
412;0,0028;0,0003;12,0;====;-0,0003;0,0003;-50,0;====
413;0,0022;-0,0006;-21,42857;====;-0,0006;-0,0003;100,0;====
414;0,0025;0,0003;13,63636;====;-0,0003;0,0003;-50,0;====
415;0,0022;-0,0003;-12,0;====;0,0003;0,0006;-200,0;====
416;0,0025;0,0003;13,63636;====;0,0009;0,0006;200,0;====
417;0,0031;0,0006;24,0;====;0,0015;0,0006;66,66667;====
418;0,0034;0,0003;9,67742;====;0,0138;0,0123;820,0;====
419;0,0044;0,001;29,41176;====;0,1525;0,1387;1005,07246;====
420;0,02;0,0156;354,54545;====;0,2782;0,1257;82,42623;====
421;0,1203;0,1003;501,5;====;0,3034;0,0252;9,05823;====
422;0,2593;0,139;115,54447;====;0,2903;-0,0131;-4,31773;====
423;0,3878;0,1285;49,5565;====;0,2646;-0,0257;-8,85291;====
424;0,4462;0,0584;15,05931;====;0,2446;-0,02;-7,55858;====
425;0,4722;0,026;5,82698;====;0,2362;-0,0084;-3,43418;====
426;0,4777;0,0055;1,16476;====;0,2316;-0,0046;-1,9475;====
427;0,4815;0,0038;0,79548;====;0,223;-0,0086;-3,7133;====
428;0,4891;0,0076;1,5784;====;0,2067;-0,0163;-7,30942;====
429;0,4968;0,0077;1,57432;====;0,1868;-0,0199;-9,62748;====
430;0,5008;0,004;0,80515;====;0,1691;-0,0177;-9,47537;====
431;0,4998;-0,001;-0,19968;====;0,1546;-0,0145;-8,57481;====
432;0,4939;-0,0059;-1,18047;====;0,1436;-0,011;-7,11514;====
433;0,4787;-0,0152;-3,07755;====;0,1382;-0,0054;-3,76045;====
434;0,464;-0,0147;-3,07082;====;0,1369;-0,0013;-0,94067;====
435;0,4523;-0,0117;-2,52155;====;0,1374;0,0005;0,36523;====
436;0,4454;-0,0069;-1,52554;====;0,1378;0,0004;0,29112;====
437;0,4445;-0,0009;-0,20207;====;0,1382;0,0004;0,29028;====
438;0,448;0,0035;0,7874;====;0,1382;0,0;0,0;====
439;0,4497;0,0017;0,37946;====;0,1386;0,0004;0,28944;====
440;0,4541;0,0044;0,97843;====;0,1394;0,0008;0,5772;====
441;0,4568;0,0027;0,59458;====;0,1398;0,0004;0,28694;====
442;0,4595;0,0027;0,59107;====;0,1403;0,0005;0,35765;====
443;0,4604;0,0009;0,19587;====;0,1407;0,0004;0,2851;====
444;0,464;0,0036;0,78193;====;0,1407;0,0;0,0;====
445;0,4658;0,0018;0,38793;====;0,1415;0,0008;0,56859;====
446;0,4667;0,0009;0,19322;====;0,1423;0,0008;0,56537;====
447;0,4685;0,0018;0,38569;====;0,1419;-0,0004;-0,2811;====
448;0,4694;0,0009;0,1921;====;0,1419;0,0;0,0;====
449;0,4713;0,0019;0,40477;====;0,1419;0,0;0,0;====
450;0,4713;0,0;0,0;====;0,1419;0,0;0,0;====
451;0,4731;0,0018;0,38192;====;0,1415;-0,0004;-0,28189;====
452;0,475;0,0019;0,40161;====;0,1419;0,0004;0,28269;====
453;0,475;0,0;0,0;====;0,1419;0,0;0,0;====
454;0,4768;0,0018;0,37895;====;0,1419;0,0;0,0;====
455;0,4796;0,0028;0,58725;====;0,1423;0,0004;0,28189;====
456;0,4824;0,0028;0,58382;====;0,1432;0,0009;0,63247;====
457;0,4872;0,0048;0,99502;====;0,1432;0,0;0,0;====
458;0,4988;0,0116;2,38095;====;0,1436;0,0004;0,27933;====
459;0,5356;0,0368;7,37771;====;0,1461;0,0025;1,74095;====
460;0,632;0,0964;17,99851;====;0,1508;0,0047;3,21697;====
461;0,7027;0,0707;11,18671;====;0,1594;0,0086;5,70292;====
462;0,7387;0,036;5,1231;====;0,1868;0,0274;17,18946;====
463;0,749;0,0103;1,39434;====;0,2669;0,0801;42,88009;====
464;0,7525;0,0035;0,46729;====;0,3933;0,1264;47,35856;====
465;0,7543;0,0018;0,2392;====;0,5087;0,1154;29,34147;====
466;0,7525;-0,0018;-0,23863;====;0,5955;0,0868;17,0631;====
467;0,7473;-0,0052;-0,69103;====;0,6538;0,0583;9,79009;====
468;0,7404;-0,0069;-0,92332;====;0,6833;0,0295;4,51208;====
469;0,7387;-0,0017;-0,22961;====;0,6951;0,0118;1,72691;====
470;0,7387;0,0;0,0;====;0,6996;0,0045;0,64739;====
471;0,8334;0,0947;12,81982;====;0,6966;-0,003;-0,42882;====
472;1,6011;0,7677;92,11663;====;0,6921;-0,0045;-0,64599;====
473;0,7741;-0,827;-51,65199;====;0,6847;-0,0074;-1,06921;====
474;1,1814;0,4073;52,61594;====;0,6775;-0,0072;-1,05156;====
475;0,9199;-0,2615;-22,13476;====;0,6747;-0,0028;-0,41328;====
476;0,6099;-0,31;-33,69932;====;0,6718;-0,0029;-0,42982;====
477;0,8596;0,2497;40,94114;====;0,6718;0,0;0,0;====
478;1,1158;0,2562;29,80456;====;0,6761;0,0043;0,64007;====
479;1,9991;0,8833;79,16293;====;0,6804;0,0043;0,636;====
480;1,1366;-0,8625;-43,14441;====;0,6877;0,0073;1,0729;====
481;0,7059;-0,4307;-37,89372;====;0,6981;0,0104;1,51229;====
482;0,6798;-0,0261;-3,69741;====;0,7056;0,0075;1,07434;====
483;0,6843;0,0045;0,66196;====;0,7149;0,0093;1,31803;====
484;0,6934;0,0091;1,32983;====;0,7244;0,0095;1,32886;====
485;0,7043;0,0109;1,57196;====;0,7308;0,0064;0,88349;====
486;0,7138;0,0095;1,34886;====;0,7325;0,0017;0,23262;====
487;0,7236;0,0098;1,37293;====;0,7244;-0,0081;-1,1058;====
488;0,7319;0,0083;1,14704;====;0,6981;-0,0263;-3,63059;====
489;0,7404;0,0085;1,16136;====;0,63;-0,0681;-9,75505;====
490;0,749;0,0086;1,16153;====;0,5547;-0,0753;-11,95238;====
491;0,756;0,007;0,93458;====;0,4943;-0,0604;-10,88877;====
492;0,7596;0,0036;0,47619;====;0,4421;-0,0522;-10,56039;====
493;0,7614;0,0018;0,23697;====;0,394;-0,0481;-10,87989;====
494;0,7596;-0,0018;-0,23641;====;0,3514;-0,0426;-10,81218;====
495;0,756;-0,0036;-0,47393;====;0,3132;-0,0382;-10,8708;====
496;0,7473;-0,0087;-1,15079;====;0,2851;-0,0281;-8,9719;====
497;0,737;-0,0103;-1,3783;====;0,2581;-0,027;-9,47036;====
498;0,722;-0,015;-2,03528;====;0,2331;-0,025;-9,68617;====
499;0,7059;-0,0161;-2,22992;====;0,2145;-0,0186;-7,97941;====
500;0,6888;-0,0171;-2,42244;====;0,198;-0,0165;-7,69231;====
501;0,6724;-0,0164;-2,38095;====;0,1817;-0,0163;-8,23232;====
502;0,6566;-0,0158;-2,34979;====;0,1682;-0,0135;-7,42983;====
503;0,636;-0,0206;-3,13737;====;0,1551;-0,0131;-7,78835;====
504;0,6254;-0,0106;-1,66667;====;0,1504;-0,0047;-3,0303;====
505;0,6163;-0,0091;-1,45507;====;0,1457;-0,0047;-3,125;====
506;0,5889;-0,0274;-4,44589;====;0,1407;-0,005;-3,43171;====
507;0,5609;-0,028;-4,75463;====;0,1365;-0,0042;-2,98507;====
508;0,5399;-0,021;-3,74398;====;0,1341;-0,0024;-1,75824;====
509;0,523;-0,0169;-3,13021;====;0,1292;-0,0049;-3,65399;====
510;0,5057;-0,0173;-3,30784;====;0,1251;-0,0041;-3,17337;====
511;0,4881;-0,0176;-3,48032;====;0,1227;-0,0024;-1,91847;====
512;0,4667;-0,0214;-4,38435;====;0,1292;0,0065;5,29747;====
513;0,4419;-0,0248;-5,31391;====;0,1308;0,0016;1,23839;====
514;0,3993;-0,0426;-9,64019;====;0,1235;-0,0073;-5,58104;====
515;0,3472;-0,0521;-13,04783;====;0,1113;-0,0122;-9,87854;====
516;0,3026;-0,0446;-12,84562;====;0,0975;-0,0138;-12,39892;====
517;0,2736;-0,029;-9,58361;====;0,0827;-0,0148;-15,17949;====
518;0,2421;-0,0315;-11,51316;====;0,0677;-0,015;-18,13785;====
519;0,2097;-0,0324;-13,3829;====;0,0535;-0,0142;-20,97489;====
520;0,18;-0,0297;-14,16309;====;0,0414;-0,0121;-22,61682;====
521;0,1482;-0,0318;-17,66667;====;0,0328;-0,0086;-20,77295;====
522;0,1228;-0,0254;-17,139;====;0,0267;-0,0061;-18,59756;====
523;0,1007;-0,0221;-17,99674;====;0,0222;-0,0045;-16,85393;====
524;0,0819;-0,0188;-18,66931;====;0,0191;-0,0031;-13,96396;====
525;0,0675;-0,0144;-17,58242;====;0,0166;-0,0025;-13,08901;====
526;0,0567;-0,0108;-16,0;====;0,0147;-0,0019;-11,44578;====
527;0,0483;-0,0084;-14,81481;====;0,0125;-0,0022;-14,96599;====
528;0,0421;-0,0062;-12,83644;====;0,0113;-0,0012;-9,6;====
529;0,0363;-0,0058;-13,77672;====;0,0101;-0,0012;-10,61947;====
530;0,0316;-0,0047;-12,94766;====;0,0088;-0,0013;-12,87129;====
531;0,0273;-0,0043;-13,60759;====;0,0076;-0,0012;-13,63636;====
532;0,0246;-0,0027;-9,89011;====;0,0067;-0,0009;-11,84211;====
533;0,0223;-0,0023;-9,34959;====;0,0058;-0,0009;-13,43284;====
534;0,0204;-0,0019;-8,52018;====;0,0048;-0,001;-17,24138;====
535;0,0184;-0,002;-9,80392;====;0,0042;-0,0006;-12,5;====
536;0,0165;-0,0019;-10,32609;====;0,0036;-0,0006;-14,28571;====
537;0,0149;-0,0016;-9,69697;====;0,0027;-0,0009;-25,0;====
538;0,0139;-0,001;-6,71141;====;0,0024;-0,0003;-11,11111;====
539;0,0126;-0,0013;-9,35252;====;0,0018;-0,0006;-25,0;====
540;0,0117;-0,0009;-7,14286;====;0,0012;-0,0006;-33,33333;====
541;0,0107;-0,001;-8,54701;====;0,0009;-0,0003;-25,0;====
542;0,0094;-0,0013;-12,14953;====;0,0009;0,0;0,0;====
543;0,0088;-0,0006;-6,38298;====;0,0006;-0,0003;-33,33333;====
544;0,0088;0,0;0,0;====;0,0003;-0,0003;-50,0;====
545;0,0082;-0,0006;-6,81818;====;-0,0;-0,0003;-100,0;====
546;0,0078;-0,0004;-4,87805;====;-0,0;0,0;0,0;====
547;0,0075;-0,0003;-3,84615;====;-0,0;0,0;0,0;====
548;0,0069;-0,0006;-8,0;====;-0,0003;-0,0003;0,0;====
549;0,0066;-0,0003;-4,34783;====;-0,0003;0,0;-0,0;====
550;0,0063;-0,0003;-4,54545;====;-0,0006;-0,0003;100,0;====
551;0,0063;0,0;0,0;====;-0,0006;0,0;-0,0;====
552;0,0059;-0,0004;-6,34921;====;-0,0006;0,0;-0,0;====
553;0,0059;0,0;0,0;====;-0,0006;0,0;-0,0;====
554;0,0059;0,0;0,0;====;-0,0006;0,0;-0,0;====
555;0,0056;-0,0003;-5,08475;====;-0,0006;0,0;-0,0;====
556;0,0056;0,0;0,0;====;-0,0009;-0,0003;50,0;====
557;0,0056;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
558;0,0056;0,0;0,0;====;-0,0006;0,0;-0,0;====
559;0,0053;-0,0003;-5,35714;====;-0,0006;0,0;-0,0;====
560;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
561;0,0053;0,0003;6,0;====;-0,0006;0,0;-0,0;====
562;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
563;0,005;-0,0003;-5,66038;====;-0,0009;0,0;-0,0;====
564;0,0053;0,0003;6,0;====;-0,0009;0,0;-0,0;====
565;0,005;-0,0003;-5,66038;====;-0,0009;0,0;-0,0;====
566;0,0053;0,0003;6,0;====;-0,0009;0,0;-0,0;====
567;0,0053;0,0;0,0;====;-0,0009;0,0;-0,0;====
568;0,0053;0,0;0,0;====;-0,0009;0,0;-0,0;====
569;0,0056;0,0003;5,66038;====;-0,0009;0,0;-0,0;====
570;0,0053;-0,0003;-5,35714;====;-0,0009;0,0;-0,0;====
571;0,0053;0,0;0,0;====;-0,0009;0,0;-0,0;====
572;0,0053;0,0;0,0;====;-0,0009;0,0;-0,0;====
573;0,0047;-0,0006;-11,32075;====;-0,0009;0,0;-0,0;====
574;0,005;0,0003;6,38298;====;-0,0009;0,0;-0,0;====
575;0,005;0,0;0,0;====;-0,0009;0,0;-0,0;====
576;0,005;0,0;0,0;====;-0,0012;-0,0003;33,33333;====
577;0,005;0,0;0,0;====;-0,0009;0,0003;-25,0;====
578;0,005;0,0;0,0;====;-0,0009;0,0;-0,0;====
579;0,0056;0,0006;12,0;====;-0,0006;0,0003;-33,33333;====
580;0,0053;-0,0003;-5,35714;====;-0,0009;-0,0003;50,0;====
581;0,0053;0,0;0,0;====;-0,0009;0,0;-0,0;====
582;0,005;-0,0003;-5,66038;====;-0,0009;0,0;-0,0;====
583;0,0053;0,0003;6,0;====;-0,0009;0,0;-0,0;====
584;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
585;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
586;0,005;0,0;0,0;====;-0,0009;-0,0003;50,0;====
587;0,005;0,0;0,0;====;-0,0009;0,0;-0,0;====
588;0,005;0,0;0,0;====;-0,0012;-0,0003;33,33333;====
589;0,005;0,0;0,0;====;-0,0006;0,0006;-50,0;====
590;0,005;0,0;0,0;====;-0,0009;-0,0003;50,0;====
591;0,005;0,0;0,0;====;-0,0009;0,0;-0,0;====
592;0,005;0,0;0,0;====;-0,0012;-0,0003;33,33333;====
593;0,005;0,0;0,0;====;-0,0009;0,0003;-25,0;====
594;0,005;0,0;0,0;====;-0,0009;0,0;-0,0;====
595;0,005;0,0;0,0;====;-0,0009;0,0;-0,0;====
596;0,005;0,0;0,0;====;-0,0009;0,0;-0,0;====
597;0,005;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
598;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
599;0,005;0,0;0,0;====;-0,0009;-0,0003;50,0;====
600;0,005;0,0;0,0;====;-0,0009;0,0;-0,0;====
601;0,0053;0,0003;6,0;====;-0,0009;0,0;-0,0;====
602;0,005;-0,0003;-5,66038;====;-0,0006;0,0003;-33,33333;====
603;0,005;0,0;0,0;====;-0,0009;-0,0003;50,0;====
604;0,005;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
605;0,0047;-0,0003;-6,0;====;-0,0009;-0,0003;50,0;====
606;0,005;0,0003;6,38298;====;-0,0006;0,0003;-33,33333;====
607;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
608;0,0053;0,0003;6,0;====;-0,0006;0,0;-0,0;====
609;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
610;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
611;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
612;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
613;0,005;0,0;0,0;====;-0,0009;-0,0003;50,0;====
614;0,005;0,0;0,0;====;-0,0009;0,0;-0,0;====
615;0,0047;-0,0003;-6,0;====;-0,0009;0,0;-0,0;====
616;0,0047;0,0;0,0;====;-0,0009;0,0;-0,0;====
617;0,005;0,0003;6,38298;====;-0,0009;0,0;-0,0;====
618;0,005;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
619;0,0047;-0,0003;-6,0;====;-0,0009;-0,0003;50,0;====
620;0,005;0,0003;6,38298;====;-0,0009;0,0;-0,0;====
621;0,0053;0,0003;6,0;====;-0,0006;0,0003;-33,33333;====
622;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
623;0,005;-0,0003;-5,66038;====;-0,0009;-0,0003;50,0;====
624;0,005;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
625;0,005;0,0;0,0;====;-0,0009;-0,0003;50,0;====
626;0,005;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
627;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
628;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
629;0,0053;0,0003;6,0;====;-0,0009;-0,0003;50,0;====
630;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
631;0,005;-0,0003;-5,66038;====;-0,0003;0,0003;-50,0;====
632;0,0053;0,0003;6,0;====;-0,0006;-0,0003;100,0;====
633;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
634;0,005;-0,0003;-5,66038;====;-0,0009;-0,0003;50,0;====
635;0,005;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
636;0,005;0,0;0,0;====;-0,0009;-0,0003;50,0;====
637;0,0047;-0,0003;-6,0;====;-0,0009;0,0;-0,0;====
638;0,0047;0,0;0,0;====;-0,0009;0,0;-0,0;====
639;0,005;0,0003;6,38298;====;-0,0009;0,0;-0,0;====
640;0,005;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
641;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
642;0,0053;0,0003;6,0;====;-0,0009;-0,0003;50,0;====
643;0,0053;0,0;0,0;====;-0,0009;0,0;-0,0;====
644;0,005;-0,0003;-5,66038;====;-0,0006;0,0003;-33,33333;====
645;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
646;0,005;0,0;0,0;====;-0,0009;-0,0003;50,0;====
647;0,0053;0,0003;6,0;====;-0,0006;0,0003;-33,33333;====
648;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
649;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
650;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
651;0,0053;0,0;0,0;====;-0,0009;0,0;-0,0;====
652;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
653;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
654;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
655;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
656;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
657;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
658;0,0053;0,0003;6,0;====;-0,0006;0,0;-0,0;====
659;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
660;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
661;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
662;0,005;0,0;0,0;====;-0,0006;0,0;-0,0;====
663;0,005;0,0;0,0;====;-0,0009;-0,0003;50,0;====
664;0,005;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
665;0,0053;0,0003;6,0;====;-0,0006;0,0;-0,0;====
666;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
667;0,0053;0,0003;6,0;====;-0,0006;0,0;-0,0;====
668;0,005;-0,0003;-5,66038;====;-0,0003;0,0003;-50,0;====
669;0,005;0,0;0,0;====;-0,0006;-0,0003;100,0;====
670;0,0053;0,0003;6,0;====;-0,0006;0,0;-0,0;====
671;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
672;0,0053;0,0003;6,0;====;-0,0006;0,0;-0,0;====
673;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
674;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
675;0,0056;0,0003;5,66038;====;-0,0006;0,0003;-33,33333;====
676;0,0053;-0,0003;-5,35714;====;-0,0006;0,0;-0,0;====
677;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
678;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
679;0,0056;0,0003;5,66038;====;-0,0009;-0,0003;50,0;====
680;0,0056;0,0;0,0;====;-0,0009;0,0;-0,0;====
681;0,0056;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
682;0,0053;-0,0003;-5,35714;====;-0,0006;0,0;-0,0;====
683;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
684;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
685;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
686;0,0056;0,0003;5,66038;====;-0,0006;0,0;-0,0;====
687;0,0056;0,0;0,0;====;-0,0009;-0,0003;50,0;====
688;0,0053;-0,0003;-5,35714;====;-0,0006;0,0003;-33,33333;====
689;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
690;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
691;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
692;0,0056;0,0003;5,66038;====;-0,0006;0,0;-0,0;====
693;0,0053;-0,0003;-5,35714;====;-0,0009;-0,0003;50,0;====
694;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
695;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
696;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
697;0,005;0,0;0,0;====;-0,0003;0,0003;-50,0;====
698;0,0053;0,0003;6,0;====;-0,0006;-0,0003;100,0;====
699;0,0053;0,0;0,0;====;-0,0003;0,0003;-50,0;====
700;0,0053;0,0;0,0;====;-0,0003;0,0;-0,0;====
701;0,0053;0,0;0,0;====;-0,0006;-0,0003;100,0;====
702;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
703;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
704;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
705;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
706;0,0053;0,0;0,0;====;-0,0009;0,0;-0,0;====
707;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
708;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
709;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
710;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
711;0,0056;0,0003;5,66038;====;-0,0006;0,0;-0,0;====
712;0,0056;0,0;0,0;====;-0,0006;0,0;-0,0;====
713;0,0053;-0,0003;-5,35714;====;-0,0006;0,0;-0,0;====
714;0,0056;0,0003;5,66038;====;-0,0003;0,0003;-50,0;====
715;0,0056;0,0;0,0;====;-0,0003;0,0;-0,0;====
716;0,0053;-0,0003;-5,35714;====;-0,0006;-0,0003;100,0;====
717;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
718;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
719;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
720;0,0053;0,0003;6,0;====;-0,0006;0,0;-0,0;====
721;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
722;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
723;0,0056;0,0003;5,66038;====;-0,0006;0,0;-0,0;====
724;0,0053;-0,0003;-5,35714;====;-0,0006;0,0;-0,0;====
725;0,0056;0,0003;5,66038;====;-0,0003;0,0003;-50,0;====
726;0,0053;-0,0003;-5,35714;====;-0,0006;-0,0003;100,0;====
727;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
728;0,0056;0,0003;5,66038;====;-0,0006;0,0;-0,0;====
729;0,0056;0,0;0,0;====;-0,0006;0,0;-0,0;====
730;0,0059;0,0003;5,35714;====;-0,0009;-0,0003;50,0;====
731;0,0053;-0,0006;-10,16949;====;-0,0006;0,0003;-33,33333;====
732;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
733;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
734;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
735;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
736;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
737;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
738;0,0056;0,0003;5,66038;====;-0,0006;0,0;-0,0;====
739;0,0053;-0,0003;-5,35714;====;-0,0006;0,0;-0,0;====
740;0,0056;0,0003;5,66038;====;-0,0006;0,0;-0,0;====
741;0,0056;0,0;0,0;====;-0,0009;-0,0003;50,0;====
742;0,0053;-0,0003;-5,35714;====;-0,0006;0,0003;-33,33333;====
743;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
744;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
745;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
746;0,0053;0,0;0,0;====;-0,0006;0,0003;-33,33333;====
747;0,005;-0,0003;-5,66038;====;-0,0006;0,0;-0,0;====
748;0,0053;0,0003;6,0;====;-0,0006;0,0;-0,0;====
749;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
750;0,0056;0,0003;5,66038;====;-0,0006;0,0;-0,0;====
751;0,0056;0,0;0,0;====;-0,0009;-0,0003;50,0;====
752;0,0053;-0,0003;-5,35714;====;-0,0006;0,0003;-33,33333;====
753;0,0053;0,0;0,0;====;-0,0006;0,0;-0,0;====
754;0,0053;0,0;0,0;====;-0,0009;-0,0003;50,0;====
