Pomiar;Ca1Mg1.Sample.csv - abs;Ca1Mg1.Sample.csv - delta;Ca1Mg1.Sample.csv - proc;====;Ca1Mg5.Sample.csv - abs;Ca1Mg5.Sample.csv - delta;Ca1Mg5.Sample.csv - proc;====
83;0,6497;-0,0184;-2,75408;====;0,2009;-0,02;-9,05387;====
84;0,64;-0,0097;-1,493;====;0,1849;-0,016;-7,96416;====
85;0,632;-0,008;-1,25;====;0,1709;-0,014;-7,57166;====
86;0,6202;-0,0118;-1,86709;====;0,1577;-0,0132;-7,72382;====
87;0,6086;-0,0116;-1,87036;====;0,1512;-0,0065;-4,12175;====
88;0,5987;-0,0099;-1,62668;====;0,147;-0,0042;-2,77778;====
89;0,5712;-0,0275;-4,59329;====;0,1407;-0,0063;-4,28571;====
90;0,5442;-0,027;-4,72689;====;0,1353;-0,0054;-3,83795;====
91;0,5261;-0,0181;-3,32598;====;0,1308;-0,0045;-3,32594;====
92;0,5087;-0,0174;-3,30736;====;0,1276;-0,0032;-2,44648;====
93;0,4949;-0,0138;-2,7128;====;0,1251;-0,0025;-1,95925;====
94;0,4777;-0,0172;-3,47545;====;0,1227;-0,0024;-1,91847;====
95;0,4595;-0,0182;-3,80992;====;0,1243;0,0016;1,30399;====
96;0,4317;-0,0278;-6,05005;====;0,13;0,0057;4,58568;====
97;0,3986;-0,0331;-7,66736;====;0,13;0,0;0,0;====
98;0,3606;-0,038;-9,53337;====;0,1288;-0,0012;-0,92308;====
99;0,3445;-0,0161;-4,46478;====;0,1207;-0,0081;-6,28882;====
100;0,3363;-0,0082;-2,38026;====;0,1156;-0,0051;-4,22535;====
101;0,3309;-0,0054;-1,60571;====;0,1036;-0,012;-10,38062;====
102;0,3026;-0,0283;-8,55243;====;0,0893;-0,0143;-13,80309;====
103;0,2576;-0,045;-14,87112;====;0,0705;-0,0188;-21,05263;====
104;0,2107;-0,0469;-18,20652;====;0,0538;-0,0167;-23,68794;====
105;0,1698;-0,0409;-19,41149;====;0,0404;-0,0134;-24,90706;====
106;0,1362;-0,0336;-19,78799;====;0,0309;-0,0095;-23,51485;====
107;0,1046;-0,0316;-23,20117;====;0,0245;-0,0064;-20,71197;====
108;0,0789;-0,0257;-24,56979;====;0,0203;-0,0042;-17,14286;====
109;0,0606;-0,0183;-23,19392;====;0,0172;-0,0031;-15,27094;====
110;0,0483;-0,0123;-20,29703;====;0,0147;-0,0025;-14,53488;====
111;0,0393;-0,009;-18,63354;====;0,0131;-0,0016;-10,88435;====
112;0,0329;-0,0064;-16,28499;====;0,0116;-0,0015;-11,45038;====
113;0,0283;-0,0046;-13,98176;====;0,0104;-0,0012;-10,34483;====
114;0,0243;-0,004;-14,13428;====;0,0088;-0,0016;-15,38462;====
115;0,0207;-0,0036;-14,81481;====;0,0076;-0,0012;-13,63636;====
116;0,0181;-0,0026;-12,56039;====;0,0067;-0,0009;-11,84211;====
117;0,0158;-0,0023;-12,70718;====;0,0058;-0,0009;-13,43284;====
118;0,0139;-0,0019;-12,02532;====;0,0055;-0,0003;-5,17241;====
119;0,0123;-0,0016;-11,51079;====;0,0045;-0,001;-18,18182;====
120;0,011;-0,0013;-10,56911;====;0,0036;-0,0009;-20,0;====
121;0,0101;-0,0009;-8,18182;====;0,003;-0,0006;-16,66667;====
122;0,0088;-0,0013;-12,87129;====;0,0027;-0,0003;-10,0;====
123;0,0078;-0,001;-11,36364;====;0,0024;-0,0003;-11,11111;====
124;0,0069;-0,0009;-11,53846;====;0,0021;-0,0003;-12,5;====
125;0,0063;-0,0006;-8,69565;====;0,0018;-0,0003;-14,28571;====
126;0,0059;-0,0004;-6,34921;====;0,0015;-0,0003;-16,66667;====
127;0,0053;-0,0006;-10,16949;====;0,0012;-0,0003;-20,0;====
128;0,0053;0,0;0,0;====;0,0009;-0,0003;-25,0;====
129;0,005;-0,0003;-5,66038;====;0,0006;-0,0003;-33,33333;====
130;0,0047;-0,0003;-6,0;====;0,0006;0,0;0,0;====
131;0,0041;-0,0006;-12,76596;====;0,0006;0,0;0,0;====
132;0,0037;-0,0004;-9,7561;====;0,0003;-0,0003;-50,0;====
133;0,0034;-0,0003;-8,10811;====;0,0003;0,0;0,0;====
134;0,0031;-0,0003;-8,82353;====;0,0003;0,0;0,0;====
135;0,0031;0,0;0,0;====;0,0003;0,0;0,0;====
136;0,0031;0,0;0,0;====;-0,0;-0,0003;-100,0;====
137;0,0028;-0,0003;-9,67742;====;-0,0;0,0;0,0;====
138;0,0025;-0,0003;-10,71429;====;-0,0;0,0;0,0;====
139;0,0028;0,0003;12,0;====;-0,0003;-0,0003;0,0;====
140;0,0025;-0,0003;-10,71429;====;-0,0003;0,0;-0,0;====
141;0,0022;-0,0003;-12,0;====;-0,0;0,0003;-100,0;====
142;0,0025;0,0003;13,63636;====;-0,0;0,0;0,0;====
143;0,0025;0,0;0,0;====;-0,0003;-0,0003;0,0;====
144;0,0025;0,0;0,0;====;-0,0003;0,0;-0,0;====
145;0,0022;-0,0003;-12,0;====;-0,0003;0,0;-0,0;====
146;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
147;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
148;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
149;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
150;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
151;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
152;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
153;0,0022;0,0;0,0;====;-0,0;0,0003;-100,0;====
154;0,0022;0,0;0,0;====;-0,0006;-0,0006;0,0;====
155;0,0022;0,0;0,0;====;-0,0003;0,0003;-50,0;====
156;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
157;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
158;0,0022;0,0003;15,78947;====;-0,0;0,0003;-100,0;====
159;0,0019;-0,0003;-13,63636;====;-0,0003;-0,0003;0,0;====
160;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
161;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
162;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
163;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
164;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
165;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
166;0,0016;-0,0003;-15,78947;====;-0,0006;-0,0003;100,0;====
167;0,0019;0,0003;18,75;====;-0,0006;0,0;-0,0;====
168;0,0019;0,0;0,0;====;-0,0;0,0006;-100,0;====
169;0,0019;0,0;0,0;====;-0,0;0,0;0,0;====
170;0,0019;0,0;0,0;====;-0,0003;-0,0003;0,0;====
171;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
172;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
173;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
174;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
175;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
176;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
177;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
178;0,0019;0,0;0,0;====;-0,0;0,0003;-100,0;====
179;0,0022;0,0003;15,78947;====;-0,0003;-0,0003;0,0;====
180;0,0025;0,0003;13,63636;====;-0,0003;0,0;-0,0;====
181;0,0022;-0,0003;-12,0;====;-0,0003;0,0;-0,0;====
182;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
183;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
184;0,0022;0,0;0,0;====;-0,0;0,0003;-100,0;====
185;0,0019;-0,0003;-13,63636;====;-0,0;0,0;0,0;====
186;0,0019;0,0;0,0;====;-0,0003;-0,0003;0,0;====
187;0,0019;0,0;0,0;====;-0,0;0,0003;-100,0;====
188;0,0019;0,0;0,0;====;-0,0;0,0;0,0;====
189;0,0019;0,0;0,0;====;-0,0003;-0,0003;0,0;====
190;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
191;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
192;0,0022;0,0003;15,78947;====;-0,0;0,0003;-100,0;====
193;0,0022;0,0;0,0;====;-0,0003;-0,0003;0,0;====
194;0,0022;0,0;0,0;====;-0,0003;0,0;-0,0;====
195;0,0019;-0,0003;-13,63636;====;-0,0003;0,0;-0,0;====
196;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
197;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
198;0,0022;0,0003;15,78947;====;-0,0003;0,0;-0,0;====
199;0,0019;-0,0003;-13,63636;====;-0,0006;-0,0003;100,0;====
200;0,0019;0,0;0,0;====;-0,0006;0,0;-0,0;====
201;0,0019;0,0;0,0;====;-0,0006;0,0;-0,0;====
202;0,0019;0,0;0,0;====;-0,0006;0,0;-0,0;====
203;0,0019;0,0;0,0;====;-0,0003;0,0003;-50,0;====
204;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
205;0,0019;0,0;0,0;====;-0,0006;-0,0003;100,0;====
206;0,0022;0,0003;15,78947;====;-0,0006;0,0;-0,0;====
207;0,0022;0,0;0,0;====;-0,0006;0,0;-0,0;====
208;0,0019;-0,0003;-13,63636;====;-0,0003;0,0003;-50,0;====
209;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
210;0,0019;0,0;0,0;====;-0,0006;-0,0003;100,0;====
211;0,0022;0,0003;15,78947;====;-0,0006;0,0;-0,0;====
212;0,0019;-0,0003;-13,63636;====;-0,0006;0,0;-0,0;====
213;0,0019;0,0;0,0;====;-0,0006;0,0;-0,0;====
214;0,0019;0,0;0,0;====;-0,0009;-0,0003;50,0;====
215;0,0019;0,0;0,0;====;-0,0003;0,0006;-66,66667;====
216;0,0019;0,0;0,0;====;-0,0003;0,0;-0,0;====
