Created as New Dataset;
s;A
344,00;0,0049
345,00;0,0046
346,00;0,0043
347,00;0,0037
348,00;0,0034
349,00;0,0031
350,00;0,0031
351,00;0,0028
352,00;0,0021
353,00;0,0018
354,00;0,0018
355,00;0,0015
356,00;0,0015
357,00;0,0015
358,00;0,0012
359,00;0,0012
360,00;0,0012
361,00;0,0009
362,00;0,0009
363,00;0,0009
364,00;0,0009
365,00;0,0009
366,00;0,0009
367,00;0,0009
368,00;0,0006
369,00;0,0006
370,00;0,0009
371,00;0,0006
372,00;0,0006
373,00;0,0006
374,00;0,0009
375,00;0,0009
376,00;0,0006
377,00;0,0006
378,00;0,0006
379,00;0,0006
380,00;0,0006
381,00;0,0003
382,00;0,0003
383,00;0,0006
384,00;0,0009
385,00;0,0009
386,00;0,0009
387,00;0,0009
388,00;0,0006
389,00;0,0009
390,00;0,0009
391,00;0,0006
392,00;0,0006
393,00;0,0009
394,00;0,0009
395,00;0,0006
396,00;0,0006
397,00;0,0006
398,00;0,0006
399,00;0,0006
400,00;0,0009
401,00;0,0009
402,00;0,0006
403,00;0,0006
404,00;0,0006
405,00;0,0006
406,00;0,0006
407,00;0,0006
408,00;0,0006
409,00;0,0006
410,00;0,0009
411,00;0,0009
412,00;0,0009
413,00;0,0009
414,00;0,0006
415,00;0,0009
416,00;0,0006
417,00;0,0006
418,00;0,0006
419,00;0,0009
420,00;0,0009
421,00;0,0006
422,00;0,0006
423,00;0,0006
424,00;0,0006
425,00;0,0009
426,00;0,0006
427,00;0,0009
428,00;0,0006
429,00;0,0006
430,00;0,0006
431,00;0,0006
432,00;0,0009
433,00;0,0009
434,00;0,0006
435,00;0,0003
436,00;0,0006
437,00;0,0006
438,00;0,0009
439,00;0,0009
440,00;0,0006
441,00;0,0006
442,00;0,0009
443,00;0,0009
444,00;0,0006
445,00;0,0006
446,00;0,0006
447,00;0,0006
448,00;0,0006
449,00;0,0009
450,00;0,0009
451,00;0,0009
452,00;0,0009
453,00;0,0009
454,00;0,0009
455,00;0,0009
456,00;0,0006
457,00;0,0009
458,00;0,0006
459,00;0,0009
460,00;0,0009
461,00;0,0006
462,00;0,0009
463,00;0,0009
464,00;0,0009
465,00;0,0006
466,00;0,0006
467,00;0,0006
468,00;0,0006
469,00;0,0009
470,00;0,0009
471,00;0,0009
472,00;0,0009
473,00;0,0006
474,00;0,0006
475,00;0,0009
476,00;0,0006
477,00;0,0006
478,00;0,0006
479,00;0,0009
480,00;0,0006
481,00;0,0003
482,00;0,0006
483,00;0,0006
484,00;0,0006
485,00;0,0009
486,00;0,0009
487,00;0,0006
488,00;0,0006
489,00;0,0009
490,00;0,0006
491,00;0,0006
492,00;0,0006
493,00;0,0009
494,00;0,0009
495,00;0,0009
496,00;0,0006
497,00;0,0006
498,00;0,0009
499,00;0,0009
500,00;0,0006
501,00;0,0009
502,00;0,0009
503,00;0,0009
504,00;0,0006
505,00;0,0009
506,00;0,0006
507,00;0,0009
508,00;0,0009
509,00;0,0006
510,00;0,0009
511,00;0,0009
512,00;0,0009
513,00;0,0009
514,00;0,0009
515,00;0,0009
516,00;0,0009
517,00;0,0006
518,00;0,0009
519,00;0,0006
520,00;0,0006
521,00;0,0009
522,00;0,0009
523,00;0,0006
524,00;0,0009
525,00;0,0009
526,00;0,0006
527,00;0,0006
528,00;0,0009
529,00;0,0009
530,00;0,0009
531,00;0,0009
532,00;0,0009
533,00;0,0009
534,00;0,0009
535,00;0,0009
536,00;0,0009
537,00;0,0009
538,00;0,0009
539,00;0,0012
540,00;0,0009
541,00;0,0012
542,00;0,0009
543,00;0,0009
544,00;0,0012
545,00;0,0009
546,00;0,0009
547,00;0,0012
548,00;0,0012
549,00;0,0012
550,00;0,0006
551,00;0,0006
552,00;0,0009
553,00;0,0009
554,00;0,0012
555,00;0,0012
556,00;0,0012
557,00;0,0012
