Created as New Dataset;
s;A
0,00;-0,0006
1,00;-0,0003
2,00;-0,0003
3,00;-0,0003
4,00;-0,0003
5,00;-0,0003
6,00;-0,0003
7,00;-0,0000
8,00;-0,0003
9,00;-0,0003
10,00;-0,0003
11,00;-0,0003
12,00;-0,0003
13,00;-0,0003
14,00;-0,0003
15,00;-0,0003
16,00;-0,0003
17,00;-0,0003
18,00;-0,0003
19,00;-0,0003
20,00;-0,0003
21,00;-0,0000
22,00;-0,0000
23,00;-0,0003
24,00;-0,0003
25,00;-0,0000
26,00;-0,0003
27,00;-0,0003
28,00;-0,0003
29,00;-0,0003
30,00;-0,0000
31,00;-0,0003
32,00;-0,0003
33,00;-0,0003
34,00;-0,0003
35,00;-0,0003
36,00;-0,0003
37,00;-0,0003
38,00;-0,0003
39,00;-0,0003
40,00;-0,0000
41,00;-0,0000
42,00;-0,0000
43,00;-0,0000
44,00;-0,0000
45,00;-0,0003
46,00;-0,0000
47,00;-0,0003
48,00;-0,0003
49,00;-0,0000
50,00;-0,0000
51,00;-0,0003
52,00;-0,0000
53,00;-0,0000
54,00;-0,0003
55,00;-0,0003
56,00;-0,0003
57,00;-0,0003
58,00;-0,0003
59,00;-0,0000
60,00;-0,0000
61,00;-0,0003
62,00;-0,0003
63,00;-0,0000
64,00;-0,0003
65,00;-0,0003
66,00;-0,0000
67,00;-0,0000
68,00;-0,0003
69,00;-0,0003
70,00;-0,0003
71,00;-0,0003
72,00;-0,0003
73,00;-0,0003
74,00;-0,0000
75,00;-0,0000
76,00;-0,0000
77,00;-0,0003
78,00;-0,0000
79,00;-0,0000
80,00;-0,0003
81,00;-0,0003
82,00;-0,0003
83,00;-0,0003
84,00;-0,0003
85,00;-0,0003
86,00;-0,0003
87,00;-0,0000
88,00;-0,0003
89,00;-0,0003
90,00;-0,0000
91,00;-0,0003
92,00;-0,0003
93,00;-0,0003
94,00;-0,0000
95,00;-0,0000
96,00;-0,0003
97,00;-0,0003
98,00;-0,0003
99,00;-0,0006
100,00;-0,0003
101,00;-0,0003
102,00;-0,0003
103,00;-0,0000
104,00;-0,0003
105,00;-0,0003
106,00;-0,0000
107,00;-0,0000
108,00;-0,0000
109,00;-0,0000
110,00;-0,0000
111,00;-0,0000
112,00;-0,0003
113,00;-0,0003
114,00;-0,0003
115,00;-0,0000
116,00;-0,0000
117,00;-0,0000
118,00;-0,0000
119,00;-0,0000
120,00;-0,0000
121,00;-0,0000
122,00;-0,0003
123,00;-0,0003
124,00;-0,0003
125,00;-0,0000
126,00;-0,0000
127,00;-0,0000
128,00;-0,0003
129,00;-0,0000
130,00;-0,0000
131,00;-0,0000
132,00;0,0003
133,00;-0,0000
134,00;-0,0000
135,00;-0,0003
136,00;-0,0003
137,00;-0,0003
138,00;-0,0000
139,00;-0,0003
140,00;-0,0003
141,00;-0,0003
142,00;-0,0003
143,00;-0,0000
144,00;-0,0003
145,00;-0,0003
146,00;-0,0003
147,00;-0,0000
148,00;-0,0003
149,00;-0,0003
150,00;-0,0000
151,00;-0,0003
152,00;-0,0003
153,00;-0,0003
154,00;-0,0003
155,00;-0,0003
156,00;-0,0000
157,00;-0,0000
158,00;-0,0003
159,00;-0,0003
160,00;-0,0000
161,00;-0,0000
162,00;-0,0003
163,00;-0,0000
164,00;-0,0000
165,00;-0,0000
166,00;-0,0003
167,00;-0,0000
168,00;-0,0003
169,00;-0,0003
170,00;-0,0000
171,00;-0,0000
172,00;-0,0000
173,00;-0,0003
174,00;-0,0003
175,00;-0,0006
176,00;-0,0003
177,00;-0,0003
178,00;-0,0006
179,00;-0,0003
180,00;-0,0003
181,00;-0,0003
182,00;-0,0003
183,00;-0,0000
184,00;-0,0003
185,00;-0,0003
186,00;-0,0003
187,00;-0,0000
188,00;-0,0003
189,00;-0,0003
190,00;-0,0003
191,00;-0,0000
192,00;-0,0000
193,00;-0,0003
194,00;-0,0000
195,00;-0,0003
196,00;-0,0000
197,00;-0,0003
198,00;-0,0003
199,00;-0,0000
200,00;-0,0003
201,00;-0,0000
202,00;-0,0000
203,00;-0,0000
204,00;-0,0000
205,00;-0,0000
206,00;-0,0000
207,00;-0,0000
208,00;-0,0003
209,00;-0,0000
210,00;-0,0000
211,00;-0,0000
212,00;-0,0000
213,00;-0,0003
214,00;-0,0003
215,00;-0,0003
216,00;-0,0000
217,00;-0,0003
218,00;-0,0000
219,00;-0,0000
220,00;-0,0003
221,00;-0,0003
222,00;-0,0000
223,00;-0,0000
224,00;-0,0003
225,00;-0,0000
226,00;-0,0000
227,00;0,0363
228,00;0,0050
229,00;0,0019
230,00;0,0025
231,00;0,0034
232,00;0,0044
233,00;0,0044
234,00;0,0041
235,00;0,4152
236,00;0,7154
237,00;0,5865
238,00;0,5712
239,00;0,5712
240,00;0,5712
241,00;0,5700
242,00;0,7892
243,00;0,5937
244,00;0,8313
245,00;1,6681
246,00;1,4462
247,00;1,0448
248,00;0,9868
249,00;0,9808
250,00;1,1540
251,00;1,7650
252,00;1,0448
253,00;0,7873
254,00;0,6710
255,00;0,6254
256,00;0,6189
257,00;0,6202
258,00;0,9577
259,00;1,4920
260,00;0,8251
261,00;0,6011
262,00;0,5700
263,00;0,5677
264,00;0,5677
265,00;0,5723
266,00;0,9465
